,Name,Score,Description
440,구미산,4.0,-
441,,,
442,기림사,4.5,-
443,김유신장군묘,4.2,-
444,남산,4.5,"하이킹 코스, 피크닉 장소, 방송탑이 있는 유명한 산으로 탁 트인 도시 전망을 감상할 수 있습니다."
445,경주국립공원 단석산지구,5.0,-
446,대릉원,4.4,-
447,,,
448,,,
449,민속공예촌,3.7,-
450,보문관광단지,4.2,-
451,,,
452,,,
453,,,
454,소금강산,2.8,-
455,신라밀레니엄파크,3.2,-
456,신라역사과학관,3.8,-
457,,,
458,옥산서원,4.4,-
459,통일전,4.3,-
460,,,
461,김천녹색미래과학관,4.2,-
462,김천시립미술관,4.0,-
463,김천실내체육관,4.3,-
464,,,
465,부항댐,5.0,-
466,김천부항댐 물문화관,4.1,-
467,김천빗내농악전수관,4.6,-
468,,,
469,,,
470,수도산 자연휴양림,4.4,-
471,,,
472,,,
473,이화만리녹색농촌체험마을영농조합법인,3.5,-
474,,,
475,직지문화공원,4.4,-
476,,,
477,청암사,4.5,-
478,갈라산,5.0,-
479,,,
480,,,
481,안동공예문화전시관,4.3,-
482,권정생동화나라,4.1,-
483,,,
484,농암종택,4.4,-
485,단호샌드파크캠핑장,4.4,-
486,도산서원(陶山書院),4.4,-
487,도산온천,3.7,-
488,봉정사(鳳停寺),4.5,-
489,,,
490,선성현문화단지한옥체험관,4.4,-
491,,,
492,안동탈춤공원(안동국제탈춤페스티벌),4.3,-
493,안동군자마을,4.2,-
494,경상북도독립운동기념관,4.4,-
495,,,
496,,,
497,안동휴그린골프클럽,4.0,-
498,안동 물문화관,3.8,-
499,,,
500,안동 임청각,4.4,-
501,안동실내체육관,4.0,-
502,,,
503,안동한지,4.1,-
504,,,
505,,,
506,,,
507,안동 예움터마을,4.2,-
508,이육사문학관,4.3,-
509,,,
510,임하호,-,-
511,,,
512,지례예술촌,4.0,-
513,,,
514,탑블리스컨트리클럽,3.8,-
515,안동 태사묘,4.2,-
516,하회세계탈박물관,4.0,-
517,,,
518,안동학가산온천,4.3,-
519,한국국학진흥원,4.0,-
520,호텔금오산,4.0,-
521,구미과학관,4.1,-
522,구미시탄소제로교육관,4.1,-
523,,,
524,,,
525,,,
526,박정희 대통령 생가,4.4,-
527,,,
528,신라불교초전지,4.3,-
529,야은역사체험관,-,-
530,옥성자연휴양림,4.3,-
531,왕산허위선생기념관,4.3,-
532,,,
533,국립산림치유원,4.5,-
534,무섬마을,-,-
535,,,
536,,,
537,소백산풍기온천리조트,4.1,-
538,소백산,4.3,-
539,,,
540,,,
541,,,
542,,,
543,소수서원,4.3,-
544,영주 순흥 벽화 고분,3.4,-
545,판타시온호텔리조트,1.5,-
546,영주호오토캠핑장,3.9,-
547,옥녀봉자연휴양림,5.0,-
548,풍기인삼박물관,3.9,-
549,,,
550,,,
551,,,
552,콩세계과학관,4.1,-
553,풍기인삼시장,4.0,-
554,은해사 거조암 영산전,4.5,-
555,국립영천호국원,4.4,-
556,,,
557,돌할매공원,4.2,-
558,(동의참누리원)영천한의마을,4.0,-
559,만불사,4.1,-
560,,,
561,보현산천문대,4.1,-
562,사일온천,3.9,-
563,,,
564,시안아트센터..,3.9,-
565,영천전투메모리얼파크,4.0,-
566,영천시보현산천문과학관,4.2,-
567,운주산 승마자연휴양림,4.3,-
568,,,
569,임고강변공원,4.3,-
570,임고서원,4.3,-
571,보현산천문대,4.1,-
572,,,
573,치산관광지 캠핑장,4.2,-
574,,,
575,치산관광지 캠핑장,4.2,-
576,,,
577,국립낙동강생물자원관,4.6,-
578,나각산,4.0,-
579,,,
580,낙동강역사이야기관,4.0,-
581,상주남장사,4.3,-
582,,,
583,,,
584,백화산,3.9,-
585,,,
586,북장사,3.5,-
587,상주국제승마장관리사업소,4.4,-
588,상주동학교당유물,4.2,-
589,상주박물관,4.1,-
590,임란북천전적지관리사무실,4.3,-
591,상주자전거박물관,4.0,-
592,성주봉자연휴양림,4.4,-
593,,,
594,,,
595,충의사,4.4,-
596,,,
597,,,
598,효자정재수기념관,3.7,-
599,경천호,4.3,-
600,대야산자연휴양림,4.4,-
601,,,
602,국민여가캠핑장,4.3,-
603,문경관광사격장,4.4,-
604,문경도자기전시관,3.8,-
605,(주)문경레저타운,4.3,-
606,문경새재 도립공원,4.4,-
607,문경새재오픈세트장,4.0,-
608,문경 에코랄라 & 석탄박물관,4.0,-
609,,,
610,,,
611,문경철로자전거,4.2,-
612,문경활공랜드(주),4.5,-
613,박열의사 기념관,4.6,-
614,백두대간,4.5,-
615,불정자연휴양림,4.1,-
616,,,
617,쌍용계곡,3.9,-
618,Mungyeong Ecorala,4.2,-
619,,,
620,,,
621,,,
622,진남교반유원지,3.9,-
623,,,
624,,,
625,,,
626,경산시립박물관,4.1,-
627,경산 임당동과 조영동 고분군,4.0,-
628,경산 임당동과 조영동 고분군,4.0,-
629,,,
630,,,
631,,,
632,(사단)한국박물관협회,-,-
633,대구컨트리클럽,4.3,-
634,,,
635,,,
636,상대온천관광호텔,3.8,-
637,상대온천관광호텔,3.8,-
638,,,
639,,,
640,압량유적,3.1,-
641,영남대학교박물관,4.3,-
642,인터불고경산컨트리클럽,4.1,-
643,인터불고경산컨트리클럽,4.1,-
644,경산 자인의 계정숲,4.0,-
645,경북대학교 자연사박물관,3.8,-
646,김수환 추기경 사랑과 나눔공원,4.4,-
647,,,
