,Name,Score,Description
406,스크린호텔,3.4,-
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,한국전력공사 수안보생활연수원,4.0,-
416,,,
417,,,
418,,,
419,,,
420,,,
421,THE 조선호텔 수안보,3.6,-
422,,,
423,,,
424,시그너스CC,4.0,-
425,상떼힐익산 컨트리클럽,3.7,-
426,,,
427,능암온천랜드,3.8,-
428,,,
429,,,
430,,,
431,,,
432,앙성탄산온천,3.4,-
433,오대호아트팩토리,4.5,-
434,월악산,4.5,-
435,충주 임충민공 충렬사,3.9,-
436,임페리얼 레이크 컨트리클럽,3.9,-
437,입고놀자,3.8,-
438,,,
439,종댕이길 한우,3.8,-
440,,,
441,중원골프클럽,4.0,-
442,라바랜드,4.3,-
443,충주고구려천문과학관,4.9,-
444,,,
445,충주댐,-,-
446,,,
447,충주박물관,4.2,-
448,충주자연생태체험관,3.7,-
449,,,
450,,,
451,,,
452,충주 탄금대,4.1,-
453,,,
454,풍류문화관,3.9,-
455,,,
456,,,
457,,,
458,,,
459,금수산,4.1,-
460,금월봉,3.6,-
461,,,
462,능강계곡,4.0,-
463,,,
464,덕동계곡,4.1,-
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,박달재조각공원,3.7,-
472,박달재자연휴양림,4.3,-
473,박달재수련원,4.3,-
474,,,
475,천주교 배론 성지,4.5,-
476,송계계곡,3.9,-
477,슬로시티수산 음식점,4.1,-
478,옥순봉,4.2,-
479,,,
480,,,
481,,,
482,,,
483,월악산,4.5,-
484,,,
485,월악산,4.5,-
486,월악산,4.5,-
487,월악산,4.5,-
488,월악산,4.5,-
489,월악산유스호스텔,3.8,-
490,,,
491,제천 의림지 역사 박물관,3.9,-
492,제천 자양영당,4.4,-
493,,,
494,정방사,4.4,-
495,,,
496,제천산악체험장,4.0,-
497,청풍리조트 레이크호텔,3.9,-
498,청풍문화재단지,4.2,-
499,,,
500,청풍유스호스텔,4.0,-
501,청풍호관광모노레일,4.0,-
502,청풍호반케이블카,4.4,-
503,,,
504,,,
505,괴곡성벽길 전망대,3.8,-
506,,,
507,탁사정계곡,4.0,-
508,한방생명과학관,4.0,-
509,힐데스하임골프장,4.1,-
510,고드미마을,-,-
511,,,
512,낭추골 현장체험학습원,1.0,-
513,단재신채호사당,4.6,-
514,대청댐,-,-
515,,,
516,떼제베컨트리클럽,3.9,-
517,,,
518,미동산수목원,4.5,-
519,상수허브랜드,2.7,-
520,,,
521,실크리버컨트리클럽,4.3,-
522,,,
523,,,
524,옥화자연휴양림,4.2,-
525,,,
526,,,
527,,,
528,,,
529,초정약수원탕,4.1,-
530,,,
531,한국잠사박물관,3.6,-
532,,,
533,구병리아름마을,4.4,-
534,구병산,4.0,-
535,금적산,-,-
536,대청호반자연생태공원,4.2,-
537,,,
538,,,
539,레이크힐스호텔속리산,3.2,-
540,속리산 말티재 자연휴양림,4.3,-
541,,,
542,,,
543,삼년산성,4.2,-
544,,,
545,서원계곡,3.9,-
546,보은 서원리 소나무,4.1,-
547,선병국가옥,4.3,-
548,속리산 숲체험 휴양마을(Songnisan Forest Recreation Village),4.5,-
549,,,
550,,,
551,속리산알프스수련원,3.1,-
552,속리산유스타운,3.6,-
553,솔향공원,4.2,-
554,아리솔 컨트리클럽,3.9,-
555,열림원유스호스텔,3.8,-
556,오장환문학관,4.1,-
557,,,
558,,,
559,충북알프스자연휴양림,4.2,-
560,펀파크(주),3.6,-
561,보은풍림정사,4.0,-
562,,,
563,보은 회인 인산객사,4.0,-
564,보은 회인향교,4.4,-
565,금강유원지,4.1,-
566,둔주봉,4.5,-
567,부소담악,3.9,-
568,,,
569,,,
570,육영수생가 주차장,3.7,-
571,장계관광지,3.8,-
572,장령산자연휴양림,4.3,-
573,정지용 문학관,2.5,-
574,,,
575,햇다래마을영농조합법인,-,-
576,갈기산,3.1,-
577,과일나라 테마공원,4.5,-
578,영동국악체험촌,4.5,-
579,난계국악박물관,4.1,-
580,,,
581,민주지산,4.3,-
582,민주지산자연휴양림,4.2,-
583,,,
584,,,
585,,,
586,영동와인터널,4.1,-
587,옥계폭포,4.1,-
588,월류봉,4.0,-
589,천태산,4.0,-
590,대한불교조계종 길상사,4.6,-
591,진천 김유신 탄생지와 태실,3.3,-
592,두타산,4.4,-
593,,,
594,만뢰산자연생태공원,4.3,-
595,문강도예캠프,5.0,-
596,천주교 배티 순교 성지,4.5,-
597,백곡저수지,4.6,-
598,보탑사(寶塔寺),4.5,-
599,삼흥관광농원,3.1,-
600,,,
601,안골관광농원,3.0,-
602,,,
603,,,
604,,,
605,진천 이상설 생가,3.9,-
606,(주)이원아트,3.0,-
607,,,
608,,,
609,진천 농다리,4.2,-
610,진천종박물관,4.0,-
611,,,
612,초평저수지,3.5,-
613,,,
614,,,
615,,,
616,,,
617,갈은구곡,4.2,-
618,,,
619,괴강국민여가캠핑장,4.2,-
620,,,
621,괴산군민가마솥,2.0,-
622,한지체험박물관,4.1,-
623,김시민장군충민사,5.0,-
624,,,
625,,,
626,,,
627,,,
628,산막이옛길,-,-
629,성불산자연휴양림,4.4,-
630,,,
631,,,
632,괴산 선유동계곡,3.8,-
633,속리산국립공원 쌍곡지구,4.6,-
634,속리산국립공원 화양동지구,4.5,-
635,수옥정관광지,3.8,-
636,,,
637,,,
638,천주교 연풍 순교 성지,4.5,-
639,연하협 구름다리,4.2,-
640,,,
641,이탄유원지,1.0,-
642,,,
643,조령민속공예촌,4.0,-
644,조령산자연휴양림,4.4,-
645,지촌천,-,-
646,충청북도자연학습원,4.3,-
647,,,
648,,,
649,,,
650,후평숲유원지,4.2,-
651,,,
652,,,
653,,,
654,,,
655,,,
656,,,
657,품바재생예술체험촌,5.0,-
658,철박물관,4.2,-
659,,,
660,코리아 크래프트 브류어리,4.4,-
661,맹동저수지,3.5,-
662,한독의약박물관,4.5,-
663,한독의약박물관,4.5,-
664,,,
665,소백산 유스호스텔,2.0,-
666,고수동굴,4.1,계단을 너머 좁은 통로를 지나 그림 같은 산책로가 펼쳐지는 자연 동굴입니다.
667,구담봉,4.4,-
668,장회나루유람선,4.0,-
669,대한불교천태종 구인사,4.2,-
670,금수산,4.1,-
671,단양다누리아쿠아리움,4.4,-
672,,,
673,단양강 잔도길,4.3,-
674,단양관광호텔 에델바이스,3.8,-
675,,,
676,,,
677,도담삼봉,4.1,-
678,,,
679,만천하스카이워크,4.3,-
680,사인암,4.2,-
681,상선암,4.1,-
682,,,
683,,,
684,,,
685,,,
686,,,
687,,,
688,,,
689,양방산 전망대,4.4,-
690,온달관광지,3.9,-
691,,,
692,,,
693,,,
694,,,
695,중선암,3.9,-
696,,,
697,,,
698,하선암,4.1,-
699,,,
700,두타산,4.4,-
701,보강천체육공원,4.4,-
702,,,
703,,,
704,,,
705,,,
706,두현저수지,4.0,-
707,율리휴양촌,4.3,-
708,하남 이성산성,4.2,-
709,증평인삼관광휴게소,3.4,-
710,,,
711,,,
712,,,
713,좌구산숲명상의집,4.3,-
714,좌구산 휴양랜드 좌구산자연휴양림,4.3,-
715,,,
716,좌구산천문대,4.6,-
717,증평대장간,4.0,-
718,증평민속체험박물관,4.1,-
719,증평유스호스텔,4.0,-
720,충북인삼유통센터,4.2,-
